GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0015278	calcium-release channel activity	0.0014147314020891374	0.0014147314020891374	+1	ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218
GO:0004691	cAMP-dependent protein kinase activity	0.0017982454273919152	0.0017982454273919152	+1	ENSG00000165059,ENSG00000142875,ENSG00000072062
GO:0016301	kinase activity	0.0038194794342806555	0.0038194794342806555	+1	ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653
GO:0016773	phosphotransferase activity, alcohol group as acceptor	0.0038707538079555117	0.0038707538079555117	+1	ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653
GO:0003824	catalytic activity	0.004076790151719764	0.004076790151719764	+1	ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000103254,ENSG00000172824,ENSG00000109971,ENSG00000133835,ENSG00000203740,ENSG00000188612,ENSG00000237172,ENSG00000088832,ENSG00000120899,ENSG00000213965,ENSG00000204256,ENSG00000067365,ENSG00000119782,ENSG00000198363,ENSG00000078369,ENSG00000165059,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000203791,ENSG00000143801,ENSG00000142949,ENSG00000139160,ENSG00000166321,ENSG00000188322,ENSG00000169398,ENSG00000108175,ENSG00000141404,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000164690,ENSG00000163501,ENSG00000161533,ENSG00000160014,ENSG00000156521,ENSG00000150787,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000140876,ENSG00000141867,ENSG00000136943,ENSG00000136159,ENSG00000130726,ENSG00000127947,ENSG00000112874,ENSG00000004468,ENSG00000103653
GO:0016740	transferase activity	0.004446748420519743	0.004446748420519743	+1	ENSG00000139549,ENSG00000103254,ENSG00000203740,ENSG00000188612,ENSG00000237172,ENSG00000120899,ENSG00000204256,ENSG00000067365,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000203791,ENSG00000139160,ENSG00000188322,ENSG00000169398,ENSG00000108175,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000004468,ENSG00000103653
GO:0031625	ubiquitin protein ligase binding	0.004605020698799701	0.004605020698799701	+1	ENSG00000109971,ENSG00000137486,ENSG00000188612,ENSG00000141480,ENSG00000120899,ENSG00000116030,ENSG00000142875,ENSG00000072062,ENSG00000146648,ENSG00000130726
GO:0004690	cyclic nucleotide-dependent protein kinase activity	0.004994466335229369	0.004994466335229369	+1	ENSG00000165059,ENSG00000142875,ENSG00000072062
GO:0005113	patched binding	0.004994466335229369	0.004994466335229369	+1	ENSG00000139549,ENSG00000164690,ENSG00000163501
GO:0004679	AMP-activated protein kinase activity	0.004994466335229369	0.004994466335229369	+1	ENSG00000165059,ENSG00000142875,ENSG00000072062
GO:0044389	ubiquitin-like protein ligase binding	0.007542089139120157	0.007542089139120157	+1	ENSG00000109971,ENSG00000137486,ENSG00000188612,ENSG00000141480,ENSG00000120899,ENSG00000116030,ENSG00000142875,ENSG00000072062,ENSG00000146648,ENSG00000130726
GO:0099604	ligand-gated calcium channel activity	0.007807723395592236	0.007807723395592236	+1	ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218
GO:0008170	N-methyltransferase activity	0.008592843888921559	0.008592843888921559	+1	ENSG00000103254,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000171806,ENSG00000144401
GO:0005217	intracellular ligand-gated monoatomic ion channel activity	0.012036866368739078	0.012036866368739078	+1	ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218
GO:0016279	protein-lysine N-methyltransferase activity	0.012190941238859351	0.012190941238859351	+1	ENSG00000103254,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000144401
GO:0016278	lysine N-methyltransferase activity	0.013202097336679723	0.013202097336679723	+1	ENSG00000103254,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000144401
GO:0019900	kinase binding	0.016825613917056472	0.016825613917056472	+1	ENSG00000132535,ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000198626,ENSG00000169398,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000103653
GO:0019901	protein kinase binding	0.019772349922927146	0.019772349922927146	+1	ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000198626,ENSG00000169398,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000103653
GO:0016772	transferase activity, transferring phosphorus-containing groups	0.04215144092104247	0.04215144092104247	+1	ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653
GO:0010945	coenzyme A diphosphatase activity	0.04998216271991274	0.04998216271991274	+1	ENSG00000213965,ENSG00000140876
GO:0000210	NAD+ diphosphatase activity	0.04998216271991274	0.04998216271991274	+1	ENSG00000166321,ENSG00000112874
GO:0014808	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	1.333562002646328e-12	1.333562002646328e-12	+1	ENSG00000198838,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:1903514	release of sequestered calcium ion into cytosol by endoplasmic reticulum	1.859395436522043e-12	1.859395436522043e-12	+1	ENSG00000198838,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0070296	sarcoplasmic reticulum calcium ion transport	1.1080891145651463e-11	1.1080891145651463e-11	+1	ENSG00000198838,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051208	sequestering of calcium ion	2.017356809298444e-11	2.017356809298444e-11	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051209	release of sequestered calcium ion into cytosol	2.597437141114991e-10	2.597437141114991e-10	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051283	negative regulation of sequestering of calcium ion	2.8603842700180427e-10	2.8603842700180427e-10	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051282	regulation of sequestering of calcium ion	3.460854131857348e-10	3.460854131857348e-10	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity	3.745060011123058e-10	3.745060011123058e-10	+1	ENSG00000089250,ENSG00000088832,ENSG00000119782,ENSG00000198363,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051279	regulation of release of sequestered calcium ion into cytosol	4.5740110238866257e-10	4.5740110238866257e-10	+1	ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	2.141592930853279e-9	2.141592930853279e-9	+1	ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0038127	ERBB signaling pathway	2.2440853393716965e-9	2.2440853393716965e-9	+1	ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000168214,ENSG00000169398,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000127947
GO:0018193	peptidyl-amino acid modification	2.9839412817977462e-9	2.9839412817977462e-9	+1	ENSG00000132535,ENSG00000089250,ENSG00000103254,ENSG00000188612,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000197122,ENSG00000203791,ENSG00000139160,ENSG00000169398,ENSG00000108175,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000160014,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000138798,ENSG00000130726
GO:1901019	regulation of calcium ion transmembrane transporter activity	2.998447153102553e-9	2.998447153102553e-9	+1	ENSG00000089250,ENSG00000088832,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0007173	epidermal growth factor receptor signaling pathway	6.880380017115639e-9	6.880380017115639e-9	+1	ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000169398,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000127947
GO:0010646	regulation of cell communication	9.4586624464937e-9	9.4586624464937e-9	+1	ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000176533,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000198626,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000186439,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000118729,ENSG00000137727,ENSG00000136943,ENSG00000127947,ENSG00000004468,ENSG00000103653
GO:0051651	maintenance of location in cell	1.8678187395505078e-8	1.8678187395505078e-8	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0032412	regulation of monoatomic ion transmembrane transporter activity	2.40832425937819e-8	2.40832425937819e-8	+1	ENSG00000132535,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0097553	calcium ion transmembrane import into cytosol	3.33239044096399e-8	3.33239044096399e-8	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0022898	regulation of transmembrane transporter activity	4.0318765105574186e-8	4.0318765105574186e-8	+1	ENSG00000132535,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:1903169	regulation of calcium ion transmembrane transport	5.834502927113025e-8	5.834502927113025e-8	+1	ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0032409	regulation of transporter activity	8.891677521364968e-8	8.891677521364968e-8	+1	ENSG00000132535,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0032879	regulation of localization	1.329466086041243e-7	1.329466086041243e-7	+1	ENSG00000148400,ENSG00000132535,ENSG00000198838,ENSG00000089250,ENSG00000109971,ENSG00000137486,ENSG00000141480,ENSG00000153485,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000196218,ENSG00000180900,ENSG00000186439,ENSG00000080815,ENSG00000173020,ENSG00000072062,ENSG00000164690,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000118729,ENSG00000130726,ENSG00000004468,ENSG00000103653
GO:2001257	regulation of cation channel activity	1.345252246245975e-7	1.345252246245975e-7	+1	ENSG00000089250,ENSG00000088832,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051049	regulation of transport	1.77601275144769e-7	1.77601275144769e-7	+1	ENSG00000148400,ENSG00000132535,ENSG00000089250,ENSG00000109971,ENSG00000137486,ENSG00000141480,ENSG00000153485,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000197122,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000180900,ENSG00000186439,ENSG00000080815,ENSG00000173020,ENSG00000072062,ENSG00000164690,ENSG00000160014,ENSG00000146648,ENSG00000138798,ENSG00000118729,ENSG00000130726,ENSG00000004468,ENSG00000103653
GO:0070588	calcium ion transmembrane transport	2.7955568732857204e-7	2.7955568732857204e-7	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0051924	regulation of calcium ion transport	4.1327181621938414e-7	4.1327181621938414e-7	+1	ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000138798,ENSG00000118729
GO:0009966	regulation of signal transduction	5.210154367918841e-7	5.210154367918841e-7	+1	ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000176533,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000137727,ENSG00000136943,ENSG00000127947,ENSG00000103653
GO:0010644	cell communication by electrical coupling	5.681051484603087e-7	5.681051484603087e-7	+1	ENSG00000119782,ENSG00000198363,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0023051	regulation of signaling	6.026599522396139e-7	6.026599522396139e-7	+1	ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000176533,ENSG00000119782,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000180900,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000137727,ENSG00000136943,ENSG00000127947,ENSG00000004468,ENSG00000103653
GO:0009719	response to endogenous stimulus	6.180742748236702e-7	6.180742748236702e-7	+1	ENSG00000148400,ENSG00000139549,ENSG00000198838,ENSG00000089250,ENSG00000109971,ENSG00000110031,ENSG00000141480,ENSG00000160691,ENSG00000050820,ENSG00000088832,ENSG00000120899,ENSG00000177885,ENSG00000078369,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000198626,ENSG00000196218,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000072062,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000118729,ENSG00000127947,ENSG00000004468,ENSG00000103653
GO:0048584	positive regulation of response to stimulus	7.56384852502704e-7	7.56384852502704e-7	+1	ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000050820,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000119782,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000175356,ENSG00000164690,ENSG00000163501,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000141867,ENSG00000136943,ENSG00000130726,ENSG00000004468,ENSG00000103653
GO:0002009	morphogenesis of an epithelium	7.965744356380643e-7	7.965744356380643e-7	+1	ENSG00000148400,ENSG00000204256,ENSG00000177885,ENSG00000169083,ENSG00000197122,ENSG00000184292,ENSG00000142875,ENSG00000198626,ENSG00000180900,ENSG00000168214,ENSG00000080815,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000146648,ENSG00000138798,ENSG00000130726
GO:0006874	intracellular calcium ion homeostasis	8.245685121016205e-7	8.245685121016205e-7	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0006816	calcium ion transport	8.861956707624109e-7	8.861956707624109e-7	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000138798,ENSG00000118729
GO:0048583	regulation of response to stimulus	0.000001132736757857676	0.000001132736757857676	+1	ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000050820,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000176533,ENSG00000119782,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000143318,ENSG00000142949,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000137727,ENSG00000136943,ENSG00000130726,ENSG00000127947,ENSG00000004468,ENSG00000103653
GO:0051239	regulation of multicellular organismal process	0.0000011746580230735956	0.0000011746580230735956	+1	ENSG00000148400,ENSG00000132535,ENSG00000089250,ENSG00000105426,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000050820,ENSG00000139197,ENSG00000120899,ENSG00000132589,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000184292,ENSG00000143318,ENSG00000198626,ENSG00000180900,ENSG00000168214,ENSG00000169398,ENSG00000166407,ENSG00000108175,ENSG00000186439,ENSG00000080815,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000171813,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000118729,ENSG00000004468,ENSG00000103653
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	0.000001291362789550619	0.000001291362789550619	+1	ENSG00000119782,ENSG00000198363,ENSG00000198626,ENSG00000072062,ENSG00000160014,ENSG00000118729
GO:0006796	phosphate-containing compound metabolic process	0.000001293577089987922	0.000001293577089987922	+1	ENSG00000132535,ENSG00000089250,ENSG00000105426,ENSG00000103254,ENSG00000109971,ENSG00000133835,ENSG00000137486,ENSG00000141480,ENSG00000088832,ENSG00000120899,ENSG00000213965,ENSG00000204256,ENSG00000119782,ENSG00000165059,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000142875,ENSG00000142949,ENSG00000166321,ENSG00000188322,ENSG00000169398,ENSG00000080815,ENSG00000184716,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000140876,ENSG00000138798,ENSG00000136159,ENSG00000127947,ENSG00000112874,ENSG00000004468,ENSG00000103653
GO:0006793	phosphorus metabolic process	0.0000016997985321840996	0.0000016997985321840996	+1	ENSG00000132535,ENSG00000089250,ENSG00000105426,ENSG00000103254,ENSG00000109971,ENSG00000133835,ENSG00000137486,ENSG00000141480,ENSG00000088832,ENSG00000120899,ENSG00000213965,ENSG00000204256,ENSG00000119782,ENSG00000165059,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000142875,ENSG00000142949,ENSG00000166321,ENSG00000188322,ENSG00000169398,ENSG00000080815,ENSG00000184716,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000140876,ENSG00000138798,ENSG00000136159,ENSG00000127947,ENSG00000112874,ENSG00000004468,ENSG00000103653
GO:0071495	cellular response to endogenous stimulus	0.0000019199251263369356	0.0000019199251263369356	+1	ENSG00000148400,ENSG00000198838,ENSG00000089250,ENSG00000109971,ENSG00000110031,ENSG00000141480,ENSG00000160691,ENSG00000050820,ENSG00000088832,ENSG00000177885,ENSG00000078369,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000198626,ENSG00000196218,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000072062,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000118729,ENSG00000127947,ENSG00000103653
GO:0055074	calcium ion homeostasis	0.0000021725623557865646	0.0000021725623557865646	+1	ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729
