# version: e111_eg58_p18_f463989d
# date: 10/1/2024, 1:22:27 PM
# organism: hsapiens
# all results: false
# ordered: false
# no iea: false
# sources: GO:MF,GO:BP,GO:CC,KEGG,REAC,WP,TF,MIRNA,HPA,CORUM,HP
# combined: false
# numeric ns: ENTREZGENE_ACC
# domain scope: annotated
# measure underrepresentation: false
# significance threshold method: g_SCS
# user threshold: 0.05
# no evidences: false
# query genes included: query_1<ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000198838,ENSG00000157322,ENSG00000145687,ENSG00000089250,ENSG00000105426,ENSG00000103254,ENSG00000140368,ENSG00000172824,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000129007,ENSG00000133835,ENSG00000137486,ENSG00000203740,ENSG00000188612,ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000237172,ENSG00000175470,ENSG00000050820,ENSG00000139197,ENSG00000153485,ENSG00000167378,ENSG00000152229,ENSG00000221886,ENSG00000206069,ENSG00000088832,ENSG00000120899,ENSG00000213965,ENSG00000204256,ENSG00000132589,ENSG00000197037,ENSG00000177885,ENSG00000116030,ENSG00000221874,ENSG00000176533,ENSG00000067365,ENSG00000214562,ENSG00000119782,ENSG00000178372,ENSG00000189350,ENSG00000198363,ENSG00000078369,ENSG00000169717,ENSG00000165059,ENSG00000137312,ENSG00000169083,ENSG00000244462,ENSG00000197122,ENSG00000162521,ENSG00000184292,ENSG00000142875,ENSG00000203791,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000142949,ENSG00000196218,ENSG00000139160,ENSG00000166321,ENSG00000180900,ENSG00000168214,ENSG00000188322,ENSG00000188100,ENSG00000169398,ENSG00000166407,ENSG00000108175,ENSG00000141404,ENSG00000186439,ENSG00000146757,ENSG00000185522,ENSG00000183310,ENSG00000183715,ENSG00000080815,ENSG00000184716,ENSG00000100077,ENSG00000178363,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000171806,ENSG00000171813,ENSG00000169925,ENSG00000169885,ENSG00000170606,ENSG00000164690,ENSG00000163501,ENSG00000162928,ENSG00000161533,ENSG00000160014,ENSG00000156521,ENSG00000150787,ENSG00000146700,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000140876,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000118729,ENSG00000137727,ENSG00000136943,ENSG00000136159,ENSG00000135617,ENSG00000130950,ENSG00000130726,ENSG00000127947,ENSG00000127588,ENSG00000108788,ENSG00000126243,ENSG00000112874,ENSG00000004468,ENSG00000103653>
# query genes not included: ,
# query genes duplicates: none
"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","calcium-release channel activity","GO:0015278","false","0.0014147314020891374","2.8493260065448887","18","112","4","20212","ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218"
"GO:MF","cAMP-dependent protein kinase activity","GO:0004691","true","0.0017982454273919152","2.7451510353569324","6","112","3","20212","ENSG00000165059,ENSG00000142875,ENSG00000072062"
"GO:MF","kinase activity","GO:0016301","false","0.0038194794342806555","2.4179958240582082","787","112","16","20212","ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653"
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","false","0.0038707538079555117","2.4122044502895585","697","112","15","20212","ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653"
"GO:MF","catalytic activity","GO:0003824","false","0.004076790151719764","2.3896816428023597","5758","112","54","20212","ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000103254,ENSG00000172824,ENSG00000109971,ENSG00000133835,ENSG00000203740,ENSG00000188612,ENSG00000237172,ENSG00000088832,ENSG00000120899,ENSG00000213965,ENSG00000204256,ENSG00000067365,ENSG00000119782,ENSG00000198363,ENSG00000078369,ENSG00000165059,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000203791,ENSG00000143801,ENSG00000142949,ENSG00000139160,ENSG00000166321,ENSG00000188322,ENSG00000169398,ENSG00000108175,ENSG00000141404,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000164690,ENSG00000163501,ENSG00000161533,ENSG00000160014,ENSG00000156521,ENSG00000150787,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000140876,ENSG00000141867,ENSG00000136943,ENSG00000136159,ENSG00000130726,ENSG00000127947,ENSG00000112874,ENSG00000004468,ENSG00000103653"
"GO:MF","transferase activity","GO:0016740","false","0.004446748420519743","2.3519574405242416","2350","112","30","20212","ENSG00000139549,ENSG00000103254,ENSG00000203740,ENSG00000188612,ENSG00000237172,ENSG00000120899,ENSG00000204256,ENSG00000067365,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000203791,ENSG00000139160,ENSG00000188322,ENSG00000169398,ENSG00000108175,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000004468,ENSG00000103653"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","false","0.004605020698799701","2.33676841338151","308","112","10","20212","ENSG00000109971,ENSG00000137486,ENSG00000188612,ENSG00000141480,ENSG00000120899,ENSG00000116030,ENSG00000142875,ENSG00000072062,ENSG00000146648,ENSG00000130726"
"GO:MF","cyclic nucleotide-dependent protein kinase activity","GO:0004690","false","0.004994466335229369","2.301510909849802","8","112","3","20212","ENSG00000165059,ENSG00000142875,ENSG00000072062"
"GO:MF","patched binding","GO:0005113","false","0.004994466335229369","2.301510909849802","8","112","3","20212","ENSG00000139549,ENSG00000164690,ENSG00000163501"
"GO:MF","AMP-activated protein kinase activity","GO:0004679","true","0.004994466335229369","2.301510909849802","8","112","3","20212","ENSG00000165059,ENSG00000142875,ENSG00000072062"
"GO:MF","ubiquitin-like protein ligase binding","GO:0044389","false","0.007542089139120157","2.1225083390214574","326","112","10","20212","ENSG00000109971,ENSG00000137486,ENSG00000188612,ENSG00000141480,ENSG00000120899,ENSG00000116030,ENSG00000142875,ENSG00000072062,ENSG00000146648,ENSG00000130726"
"GO:MF","ligand-gated calcium channel activity","GO:0099604","false","0.007807723395592236","2.107475580830071","27","112","4","20212","ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218"
"GO:MF","N-methyltransferase activity","GO:0008170","false","0.008592843888921559","2.0658630782105245","96","112","6","20212","ENSG00000103254,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000171806,ENSG00000144401"
"GO:MF","intracellular ligand-gated monoatomic ion channel activity","GO:0005217","false","0.012036866368739078","1.9194865609102318","30","112","4","20212","ENSG00000198838,ENSG00000119782,ENSG00000198626,ENSG00000196218"
"GO:MF","protein-lysine N-methyltransferase activity","GO:0016279","false","0.012190941238859351","1.9139627620549562","61","112","5","20212","ENSG00000103254,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000144401"
"GO:MF","lysine N-methyltransferase activity","GO:0016278","false","0.013202097336679723","1.8793570695978365","62","112","5","20212","ENSG00000103254,ENSG00000067365,ENSG00000203791,ENSG00000139160,ENSG00000144401"
"GO:MF","kinase binding","GO:0019900","false","0.016825613917056472","1.7740290806893757","790","112","15","20212","ENSG00000132535,ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000198626,ENSG00000169398,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000103653"
"GO:MF","protein kinase binding","GO:0019901","false","0.019772349922927146","1.7039417121779008","706","112","14","20212","ENSG00000141480,ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000198626,ENSG00000169398,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000103653"
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","false","0.04215144092104247","1.3751875746961437","959","112","16","20212","ENSG00000120899,ENSG00000204256,ENSG00000165059,ENSG00000197122,ENSG00000142875,ENSG00000188322,ENSG00000169398,ENSG00000100077,ENSG00000173020,ENSG00000072062,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000141867,ENSG00000130726,ENSG00000103653"
"GO:MF","coenzyme A diphosphatase activity","GO:0010945","true","0.04998216271991274","1.301184955952607","3","112","2","20212","ENSG00000213965,ENSG00000140876"
"GO:MF","NAD+ diphosphatase activity","GO:0000210","true","0.04998216271991274","1.301184955952607","3","112","2","20212","ENSG00000166321,ENSG00000112874"
"GO:BP","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","GO:0014808","true","1.333562002646328e-12","11.874986787412295","34","104","10","21031","ENSG00000198838,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","release of sequestered calcium ion into cytosol by endoplasmic reticulum","GO:1903514","false","1.859395436522043e-12","11.730628239256243","35","104","10","21031","ENSG00000198838,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","sarcoplasmic reticulum calcium ion transport","GO:0070296","false","1.1080891145651463e-11","10.95542531144187","41","104","10","21031","ENSG00000198838,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","sequestering of calcium ion","GO:0051208","false","2.017356809298444e-11","10.695217281457683","142","104","14","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","release of sequestered calcium ion into cytosol","GO:0051209","false","2.597437141114991e-10","9.585454953721593","135","104","13","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","negative regulation of sequestering of calcium ion","GO:0051283","false","2.8603842700180427e-10","9.54357561892062","136","104","13","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of sequestering of calcium ion","GO:0051282","false","3.460854131857348e-10","9.460816704971823","138","104","13","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of ryanodine-sensitive calcium-release channel activity","GO:0060314","true","3.745060011123058e-10","9.426541218741342","24","104","8","21031","ENSG00000089250,ENSG00000088832,ENSG00000119782,ENSG00000198363,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of release of sequestered calcium ion into cytosol","GO:0051279","false","4.5740110238866257e-10","9.339702793028929","81","104","11","21031","ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","GO:0010880","false","2.141592930853279e-9","8.669263075373832","29","104","8","21031","ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","ERBB signaling pathway","GO:0038127","true","2.2440853393716965e-9","8.648960631500772","124","104","12","21031","ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000168214,ENSG00000169398,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000127947"
"GO:BP","peptidyl-amino acid modification","GO:0018193","true","2.9839412817977462e-9","8.52520972719204","747","104","23","21031","ENSG00000132535,ENSG00000089250,ENSG00000103254,ENSG00000188612,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000197122,ENSG00000203791,ENSG00000139160,ENSG00000169398,ENSG00000108175,ENSG00000173020,ENSG00000072062,ENSG00000171806,ENSG00000160014,ENSG00000146648,ENSG00000144401,ENSG00000141736,ENSG00000138798,ENSG00000130726"
"GO:BP","regulation of calcium ion transmembrane transporter activity","GO:1901019","false","2.998447153102553e-9","8.523103601092735","69","104","10","21031","ENSG00000089250,ENSG00000088832,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","epidermal growth factor receptor signaling pathway","GO:0007173","false","6.880380017115639e-9","8.162387574151328","103","104","11","21031","ENSG00000141738,ENSG00000160691,ENSG00000050820,ENSG00000120899,ENSG00000177885,ENSG00000197122,ENSG00000169398,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000127947"
"GO:BP","regulation of cell communication","GO:0010646","false","9.4586624464937e-9","8.024170273024973","3443","104","47","21031","ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000176533,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000198626,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000186439,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000118729,ENSG00000137727,ENSG00000136943,ENSG00000127947,ENSG00000004468,ENSG00000103653"
"GO:BP","maintenance of location in cell","GO:0051651","false","1.8678187395505078e-8","7.728665271699366","233","104","14","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of monoatomic ion transmembrane transporter activity","GO:0032412","false","2.40832425937819e-8","7.61828503959948","192","104","13","21031","ENSG00000132535,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","calcium ion transmembrane import into cytosol","GO:0097553","false","3.33239044096399e-8","7.4772441199837","197","104","13","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of transmembrane transporter activity","GO:0022898","false","4.0318765105574186e-8","7.394492778051814","200","104","13","21031","ENSG00000132535,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of calcium ion transmembrane transport","GO:1903169","false","5.834502927113025e-8","7.233996137940372","163","104","12","21031","ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of transporter activity","GO:0032409","false","8.891677521364968e-8","7.051016296448906","213","104","13","21031","ENSG00000132535,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of localization","GO:0032879","false","1.329466086041243e-7","6.8763227368077855","2018","104","34","21031","ENSG00000148400,ENSG00000132535,ENSG00000198838,ENSG00000089250,ENSG00000109971,ENSG00000137486,ENSG00000141480,ENSG00000153485,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000196218,ENSG00000180900,ENSG00000186439,ENSG00000080815,ENSG00000173020,ENSG00000072062,ENSG00000164690,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000138798,ENSG00000118729,ENSG00000130726,ENSG00000004468,ENSG00000103653"
"GO:BP","regulation of cation channel activity","GO:2001257","false","1.345252246245975e-7","6.871196274114089","100","104","10","21031","ENSG00000089250,ENSG00000088832,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of transport","GO:0051049","false","1.77601275144769e-7","6.75055392039104","1594","104","30","21031","ENSG00000148400,ENSG00000132535,ENSG00000089250,ENSG00000109971,ENSG00000137486,ENSG00000141480,ENSG00000153485,ENSG00000088832,ENSG00000120899,ENSG00000116030,ENSG00000119782,ENSG00000198363,ENSG00000137312,ENSG00000197122,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000180900,ENSG00000186439,ENSG00000080815,ENSG00000173020,ENSG00000072062,ENSG00000164690,ENSG00000160014,ENSG00000146648,ENSG00000138798,ENSG00000118729,ENSG00000130726,ENSG00000004468,ENSG00000103653"
"GO:BP","calcium ion transmembrane transport","GO:0070588","false","2.7955568732857204e-7","6.553531667954439","342","104","15","21031","ENSG00000198838,ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000196218,ENSG00000186439,ENSG00000080815,ENSG00000072062,ENSG00000160014,ENSG00000118729"
"GO:BP","regulation of calcium ion transport","GO:0051924","false","4.1327181621938414e-7","6.383764211165805","241","104","13","21031","ENSG00000089250,ENSG00000088832,ENSG00000120899,ENSG00000119782,ENSG00000198363,ENSG00000143318,ENSG00000143801,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000138798,ENSG00000118729"
"GO:BP","regulation of signal transduction","GO:0009966","true","5.210154367918841e-7","6.283149409110808","3010","104","41","21031","ENSG00000148400,ENSG00000132535,ENSG00000139549,ENSG00000089250,ENSG00000105426,ENSG00000109971,ENSG00000166444,ENSG00000110031,ENSG00000137486,ENSG00000141480,ENSG00000160691,ENSG00000088832,ENSG00000120899,ENSG00000132589,ENSG00000177885,ENSG00000176533,ENSG00000137312,ENSG00000169083,ENSG00000197122,ENSG00000162521,ENSG00000142875,ENSG00000168214,ENSG00000169398,ENSG00000108175,ENSG00000080815,ENSG00000100077,ENSG00000173020,ENSG00000175356,ENSG00000072062,ENSG00000164690,ENSG00000163501,ENSG00000160014,ENSG00000146648,ENSG00000141736,ENSG00000089159,ENSG00000138798,ENSG00000141867,ENSG00000137727,ENSG00000136943,ENSG00000127947,ENSG00000103653"
"GO:BP","cell communication by electrical coupling","GO:0010644","false","5.681051484603087e-7","6.245571274905507","34","104","7","21031","ENSG00000119782,ENSG00000198363,ENSG00000198626,ENSG00000186439,ENSG00000072062,ENSG00000160014,ENSG00000118729"
